,Data,Hora,Inv1 Ica F1 (A)
0,,06:00:00,0.0
1,,06:15:00,0.0
2,,06:30:00,0.0
3,,06:45:00,0.0
4,,07:00:00,0.0
5,,07:15:00,0.0
6,,07:30:00,0.0
7,,07:45:00,0.0
8,,08:00:00,0.0
9,,08:15:00,0.0
10,,08:30:00,0.0
11,,08:45:00,0.0
12,,09:00:00,0.0
13,,09:15:00,0.0
14,,09:30:00,0.0
15,,09:45:00,0.0
16,,10:00:00,0.0
17,,10:15:00,0.0
18,,10:30:00,0.0
19,,10:45:00,0.0
20,,11:00:00,0.0
21,,11:15:00,0.0
22,,11:30:00,0.0
23,,11:45:00,0.0
24,,12:00:00,0.0
25,,12:15:00,0.0
26,,12:30:00,0.0
27,,12:45:00,0.0
28,,13:00:00,0.0
29,,13:15:00,0.0
30,,13:30:00,0.0
31,,13:45:00,0.0
32,,14:00:00,0.0
33,,14:15:00,0.0
34,,14:30:00,0.0
35,,14:45:00,0.0
36,,15:00:00,0.0
37,,15:15:00,0.0
38,,15:30:00,0.0
39,,15:45:00,0.0
40,,16:00:00,0.0
41,,16:15:00,0.0
42,,16:30:00,0.0
43,,16:45:00,0.0
44,,17:00:00,0.0
45,,17:15:00,0.0
46,,17:30:00,0.0
47,,17:45:00,0.0
48,,18:00:00,0.0
49,,18:15:00,0.0
50,,18:30:00,0.0
51,,18:45:00,0.0
52,,19:00:00,0.0
53,,19:15:00,0.0
54,,19:30:00,0.0
55,,19:45:00,0.0
